name,rating,createdAt,address1,address2,address3,postCode,latitude,longitude
Falles Service Station,3,06/10/2025,Service Station,Longueville Road,Jersey,JE1 1BP,49.183385,-2.078407
Silver Star Community Playgroup,5,07/12/2022,St Marys Youth Community Centre,La Rue du Pont,Jersey,JE3 3AS,49.167499,-2.033118
Grouville Parish Church,4,28/11/2023,La Rue à Don,Grouville,,JE3 9GB,49.188577,-2.040517
St Ewolds Residential Home,5,09/07/2024,Balmoral Drive,St. Helier,,JE2 4NJ,49.196097,-2.099413
St. Brelade Bowls Club,5,06/10/2025,St. Brelade Bowls Club,Les Quennevais Sports Centre,St. Brelade,JE3 8GW,49.193024,-2.199614
Kelly's Cakes,5,11/12/2023,,,,,,
Samantha Boon Wedding Cake Design,5,07/03/2024,,,,,,
New Look,5,21/07/2022,New Look,6  King Street,St. Helier,JE2 4WF,49.1842,-2.10535
National Trust for Jersey,5,26/07/2022,16 New Street,St. Helier,,JE2 3TE,49.186138,-2.10609
Marks & Spencer - St John,5,22/05/2024,La Route des Issues,St. John,,JE3 4FA,49.243149,-2.127296
Love Bird Too Ltd,5,08/09/2022,Jersey War Tunnels,Les Charrières Malorey,Jersey,JE3 1FU,49.212651,-2.153597
Portelet Bay Cafe,4,08/07/2024,Portelet Bay,La Rue Voisin,Jersey,JE3 8AU,39.119433,-90.327488
The Kitchen Cupboard,5,07/08/2023,12½,Charing Cross,Jersey,JE2 3RP,43.865135,-85.37849
Move on Cafe,4,31/07/2024,Old Harbour Offices,La Route de la Libération,Jersey,JE2 3NY,51.34083,12.375101
La Fregate & Thai by Night,3,25/02/2025,Les Jardin de la Mer,Esplanade,Jersey,JE2 4ZT,39.119433,-90.327488
The Old Courthouse Inn,4,30/01/2024,Restaurant,Le Boulevard,Jersey,JE3 8AB,49.186263,-2.169611
Tilleys,4,22/08/2022,Beuvelande Camp Site,La Rue de Beuvelande,Jersey,JE3 6EZ,49.210847,-2.043882
Market Juice Bar,4,20/07/2022,91 Central Market,Halkett Place,Jersey,JE2 4WL,49.21849,-2.14198
Roast Bistro,4,05/01/2023,28 Sand Street,St. Helier,,,49.18566,-2.11093
Dandy,3,29/01/2025,Unit 2,Conway House,St. Helier,JE2 3NT,49.185665,-2.110228
Polo Market,4,31/08/2023,31 Devonshire Place,St. Helier,,JE2 3RD,49.1871,-2.1079
Candyfloss,4,04/09/2023,,,,,,
The Arches - St. Catherine's,5,21/05/2024,,,,,,
Simple Simon's,4,14/02/2024,4 Charing Cross,St. Helier,,JE2 3RP,49.185027,-2.108923
Colleen's Cafe,5,15/07/2025,Commercial Premises,La Greve de Lecq,Jersey,JE3 2DL,49.248716,-2.20353
Fast and Tasty Food,4,28/02/2024,,,,,,
The Old England,4,05/08/2022,10 Cheapside,St. Helier,,JE2 3PG,49.18888,-2.1125
The Potato Shack,5,13/03/2025,Woodlands Fram,La Rue de Maupertuis,Jersey,JE2 3HG,51.34083,12.375101
Casa Paco,3,24/07/2025,38-41 Central Market,Halkett Place,Jersey,JE2 4WL,49.21849,-2.14198
Clubhouse Bar & Eatery,5,22/03/2023,Jersey Hockey Clubhouse,La Route des Quennevais,Jersey,JE3 8LZ,49.193048,-2.199306
Valley Foods (Caring Cooks),4,24/06/2024,Valley Foods,La Rue de la Solitude,Jersey,JE3 6DF,39.119433,-90.327488
AHA Cafe Lounge and Restaurant,5,05/06/2024,Howard Davis Park,St Clements Road,Jersey,JE2 7PD,39.119433,-90.327488
Premier Inn (Bath Street),5,16/02/2024,92 Bath Street,St. Helier,,JE2 4SU,49.18713,-2.1025
Little Squirrels Nursery,5,15/12/2022,La Route de la Haule,St. Peter,Jersey,JE3 7BA,49.21283,-2.18372
St Joseph's Care Home,5,04/03/2025,Care Home,St. Johns Road,Jersey,JE2 4XZ,39.119433,-90.327488
The Waffle Wagon,5,14/02/2025,,,,,,
The Beach Club,5,19/03/2025,Le Mont Sohier,St. Brelade,,JE3 8EA,49.184566,-2.190593
Belle's Bites,5,03/09/2021,,,,,,
Binney & Boarder,3,22/09/2025,,,,,,
La Croix Guest House,5,10/06/2024,La Rue de la Croix,St. Ouen,,JE3 2HA,49.23351,-2.202041
Jersey Kitchen at The Windmill,4,12/04/2023,The Windmill,Les Chenolles,Jersey,JE3 7DW,49.243123,-2.136431
La Boutique Normande,5,26/01/2023,71 Halkett Place,St. Helier,,JE2 4WG,49.186017,-2.104358
Trinity School,4,29/02/2024,Trinity School,La Route de la Trinité,Jersey,JE3 5JP,49.234493,-2.092927
Waitrose (Cafe),5,29/09/2022,La Route Orange,St. Brelade,,JE3 8NG,49.188669,-2.21175
Jersey Gaming Hub,5,25/07/2023,6 The Parade,St. Helier,,JE2 3QP,49.1869,-2.11047
Café Louise,4,06/07/2023,Gorey Pier,St. Martin,,JE3 6EW,49.199398,-2.020463
The Mary Rose,5,05/10/2023,18 Mulcaster Street,St. Helier,,JE2 3NJ,49.183115,-2.106983
The Boat House & The Anchor Club,3,13/05/2025,1 North Quay,La Neuve Route,Jersey,JE3 8BS,30.937499,-92.305998
The Paddock & Tipsy Camper,5,30/09/2023,,,,,,
Boucher du Nord,5,29/04/2025,Temple Court,La Rue du Temple,Jersey,JE3 4BJ,49.246451,-2.138041
Belvedere Leisure Shop,5,25/10/2023,Merton Leisure Club & Aquadome,Belvedere Hill,Jersey,JE2 7RP,49.21849,-2.14198
Thyme Out West (HCS Catering),4,22/01/2024,Enid Quenault House,Les Quennevais Park,St. Brelade,JE3 8JW,49.192715,-2.202559
Part in the Frame,5,02/10/2023,19  Commercial Buildings,,St. Helier,JE2 3NB,49.18052,-2.1089
St. John's Village Cafe,5,26/04/2024,3 Temple Court,La Rue du Temple,Jersey,JE3 4BJ,39.119433,-90.327488
Avoca Villa Guest House,5,15/08/2022,Avoca Villa Guest House,92 Great Union Road,Jersey,JE2 3WA,49.19037,-2.10842
The Royal British Legion,5,31/05/2024,Great Union Street,St. Helier,,JE2 3YD,49.187453,-2.106376
Maison La Corderie,5,21/02/2025,Green Street,St. Helier,,JE2 4UG,49.178722,-2.104437
Forum Wine Bar,5,25/09/2023,Ground Floor,13 Grenville Street,Jersey,JE2 4UF,49.18192,-2.10206
Roberts Garage - St Clement,3,20/03/2025,La Grève d'Azette,St. Clement,,JE2 6PT,49.173637,-2.056212
Rice Bowl Restaurant,3,23/04/2025,La Grève d'Azette,St. Clement,,JE2 6PX,49.173637,-2.056212
The Halkett,5,16/07/2025,53 Halkett Place,St. Helier,,JE2 4WG,49.185971,-2.104371
Cooper & Co,4,26/07/2024,57  Halkett Place,,St. Helier,JE2 4WG,49.185989,-2.104366
Awabi,4,01/07/2025,63 Halket Place,St. Helier,,,49.18572,-2.10435
Bay Stores,3,29/07/2024,Weston Villas,La Route de St. Aubin,Jersey,JE2 3SF,49.198121,-2.147153
Sun Bowls Club,4,02/08/2022,La Route ès Nouaux,St. Helier,,JE2 4ZJ,49.195207,-2.12536
La Moye Golf Club,5,22/05/2024,La Route Orange,St. Brelade,,JE3 8GQ,49.188669,-2.21175
Acorn Nursery,5,08/05/2025,Le Hurel,La Rue du Tas de Geon,Jersey,JE3 5AN,51.34083,12.375101
Midland Stores (1987) Ltd,3,22/09/2025,La Rue du Trot,St. Saviour,,JE2 7JQ,49.20793,-2.066015
Beachcombers Hotel,2,12/02/2025,Beachcombers Hotel,La Rue à Don,Grouville,JE3 9GB,49.188577,-2.040517
Rozel Rovers Football Club,5,21/02/2023,La Route de St. Jean,St. Lawrence,,JE3 1ND,49.239622,-2.111377
Trinity Arms Public House,4,11/03/2024,La Rue ès Picots,Trinity,,JE3 5JX,49.232969,-2.086812
Lavender Villa Residential Ltd,5,03/03/2025,Lavender Villa Residential Home,La Rue à Don,Jersey,JE3 9DX,49.188577,-2.040517
Hollies Day Care Centre (HCS Catering),5,27/02/2025,La Rue Hilgrove,Grouville,,JE3 9EZ,49.19781,-2.032303
Mr Churros,4,15/05/2024,,,,,,
Five Oaks Inn,5,05/12/2023,La Rue à la Dame,St. Saviour,,JE2 7NH,49.202273,-2.085331
H.M. Prison La Moye,5,01/03/2023,La Rue Baal,St. Brelade,,JE3 8HQ,49.179905,-2.218703
The Village Tearoom,5,10/04/2024,St Peters Youth & Community Centre,Rue des Fosses,Jersey,JE3 7AH,49.211777,-2.182927
Samares Primary School,4,25/09/2023,School Road,St. Clement,,JE2 6TG,49.169796,-2.084149
Glanville Residential Home,5,19/07/2024,70-74 St. Marks Road,St. Saviour,,JE2 7LD,49.190451,-2.100316
Longfield Villa Care Home,5,04/06/2024,La Rue du Bocage,St. Peter,,JE3 7AS,49.21283,-2.18372
Springfield Primary School,5,24/01/2025,St. Marks Road,St. Saviour,,JE2 7LD,49.190451,-2.100316
Grainville Tennis Club,5,22/02/2023,,,,,,
Eastern Good Companions Club,5,30/04/2025,Rue du Maupertuis,St. Clement,,JE2 6NG,49.168064,-2.081943
St. Saviours Bowling Club,5,20/06/2022,St. Saviours Hill,St. Saviour,,JE2 7LG,49.194944,-2.090842
Bowlers Rest,5,06/05/2025,Jersey Indoor Bowling,St. Saviours Hill,Jersey,JE2 7XB,49.194944,-2.090842
The Admiral,5,26/07/2022,12-14 St. James Street,St. Helier,,JE2 3QZ,49.183256,-2.100232
Big J Take Away,3,24/01/2024,30 Sand Street,St. Helier,,JE2 3QF,49.18576,-2.1112
FCJ Primary School,5,30/10/2023,F C J School,La Rue de Deloraine,Jersey,JE2 7XB,39.119433,-90.327488
James St Newsagents,3,26/11/2024,4 St. James Street,St. Helier,,JE2 3QZ,49.18375,-2.10011
Le Squez Youth Project,4,11/01/2024,School Road,St. Clement,,JE2 6TG,49.169796,-2.084149
Jack and Diana's Food Stall,3,10/06/2023,,,,,,
Laneez Surf Centre,5,05/06/2023,The Surf Shack,La Grande Route Des Mielles,Jersey,JE3 7FN,49.214849,-2.224828
Rosedale Stores,4,31/10/2023,Gorey Village Main Road,Grouville,,JE3 9FX,49.195959,-2.03384
Westhill Country Club Limited T/a Westhill Country Hotel,3,24/07/2025,Westhill Country Hotel,West Hill,St. Helier,JE2 3HB,49.198583,-2.119622
The Sir George Carteret,4,28/06/2024,Public House,La Petite Rue de l'Église,Jersey,JE3 7AF,49.213038,-2.18341
Co-Op Locale - Quennevais,5,18/04/2025,La Route des Quennevais,St. Brelade,,JE3 8LL,49.193048,-2.199306
The Thai Dicq Shack,3,15/09/2022,The Dicq Slip,St Clements Road,Jersey,JE2 7PD,39.119433,-90.327488
Westmount Day Nursery,5,29/07/2024,Westmount Road,St. Helier,,JE2 3LP,49.19155,-2.116394
Tori's Treasures,5,03/07/2025,,,,,,
New Rainbow,4,20/10/2022,Rainbow Chinese Takeaway,16 Belmont Road,Jersey,JE2 4SA,43.865135,-85.37849
Jersey Bowling Club,5,24/02/2023,Westmount Road,St. Helier,,JE2 3LP,49.19155,-2.116394
Bistro Rosa,4,29/04/2025,19-22 Beresford Market,Beresford Street,Jersey,JE2 4WX,49.185277,-2.103836
The Kids Club,4,03/03/2023,St. Mary Youth & Community Centre,La Rue du Pont,Jersey,JE3 3AS,49.167499,-2.033118
Restaurant Do Porto,3,28/07/2022,Restaurant Do Porto,2-3 Minden Street,Jersey,JE2 4WR,39.127655,-90.324523
La Baguette Chaude (Bruno's),4,30/06/2025,La Baguette Chaude,5 York Street,Jersey,JE2 3RQ,51.38307,-0.16021
La Taverne Restaurant,4,25/09/2023,La Taverne Restaurant,6 York Street,Jersey,JE2 3RQ,43.865135,-85.37849
Alister Guest House,4,13/12/2022,3 Clarendon Road,St. Helier,,JE2 3YS,49.19164,-2.10343
Robin Hood Take Away,2,23/07/2025,Robin Hood Take Away,10 Union Street,Jersey,JE2 3RF,39.119433,-90.327488
Cleveland Stores,5,30/05/2022,2-3 Dicq Corner,St Clements Road,Jersey,JE2 4PX,43.865135,-85.37849
Cafe @ the Centre,5,10/07/2024,St Helier Methodist Church,Halkett Place,Jersey,JE2 4WH,49.18573,-2.104436
Eastern Delights,5,27/09/2023,4 Minden Place,St. Helier,,JE2 4WQ,49.185665,-2.110228
Radisson Blu Waterfront Hotel,5,17/03/2025,Waterfront,La Rue De L'Etau,Jersey,JE2 3WF,39.119433,-90.327488
Pizzeria Famosa Limited,3,17/07/2024,39-41 La Colomberie,St. Helier,,JE2 4QB,49.182203,-2.101044
Cafe Jac,4,15/03/2024,Cafe,Jersey Arts Centre,St. Helier,JE2 4SW,49.185665,-2.110228
Jersey Squash and Racketball Club,3,21/12/2023,Jersey Recreation Grounds,Plat Douet Road,Jersey,JE2 6PN,43.865135,-85.37849
RJA & HS,5,27/10/2022,Agriculture Department,La Route de la Trinité,Jersey,JE3 5JP,49.234493,-2.092927
Will Gorman Catering & Private Dining,5,10/06/2025,,,,,,
The Brasserie by Tiffin,3,04/03/2025,46-52 King Street,St. Helier,,JE4 8NN,49.184451,-2.106853
First Stop Coffee Shop & Restaurant,3,01/08/2024,Maison du Coin,Cheapside,St. Helier,JE2 3PG,49.185665,-2.110228
Cafe Spice,4,16/07/2024,Cafe Spice,53 Kensington Place,Jersey,JE2 3PA,43.865135,-85.37849
D'Auvergne School,3,01/03/2023,D'Auvergne School,La Pouquelaye,Jersey,JE2 3GF,43.865135,-85.37849
Jessindy Cafe,4,18/07/2024,3 Peter Street,St. Helier,,JE2 4SP,49.18512,-2.10221
Crab Shack,5,10/04/2024,St Brelade's Bay,La Route de la Baie,Jersey,JE3 8EF,39.119433,-90.327488
Cafe Firefly @ Durrell,5,07/02/2025,Augres Manor,La Profonde Rue,Jersey,JE3 5BP,49.230414,-2.074973
Army Camp Training Centre (TA),5,04/11/2022,Les Quesne Barracks,Mount Bingham,Jersey,JE2 4XY,49.176008,-2.107736
The Fresh Crust Pizza Company,3,30/07/2024,49 La Colomberie,St. Helier,,JE2 4QA,49.18188,-2.10039
Cafe Dodo @ Durrell,5,07/02/2025,Augres Manor,La Profonde Rue,Jersey,JE3 5BP,49.230414,-2.074973
Little Oaks Nursery,5,08/05/2025,Highlands College,La Rue du Froid Vent,St. Saviour,JE4 8QJ,49.192936,-2.089218
Co-Op Locale - Don Street,5,14/07/2023,57 Don Street,St. Helier,,JE2 4TR,49.18651,-2.10502
Cooper & Co,5,09/06/2025,Millais House,Castle Quay,St. Helier,JE2 3WF,49.185665,-2.110228
Supermarket Alliance Ltd,5,07/08/2023,6 & 8,Sand Street,Jersey,JE2 3QF,43.865135,-85.37849
The Club Hotel & Spa & Bohemia,5,14/02/2024,Green Street,St. Helier,,JE2 4UH,49.178722,-2.104437
Horse & Hound,5,04/07/2025,Public House,La Route des Quennevais,Jersey,JE3 8LL,49.193048,-2.199306
The Fresh Fish Company,4,31/07/2024,Shop,Victoria Pier,Jersey,JE2 2WS,49.210345,-2.092171
"Alfresco Events & Bars, Pimms Pod",5,07/04/2021,,,,,,
The Tamariki Club (After School),5,09/01/2023,De la Salle College,Wellington Road,Jersey,JE2 7TH,40.852626,-74.115653
Bonne Nuit Beach Cafe,3,17/07/2025,Cafe,Les Charrières de Bonne Nuit,Jersey,JE3 4DD,39.119433,-90.327488
Pizza Quarter,4,30/09/2022,Commercial Premises,Le Mont de Gouray,Jersey,JE3 6ET,51.133481,10.018343
The Kings Bar,5,11/06/2024,14 Bond Street,St. Helier,,JE2 3NP,49.183866,-2.107524
Partners Restaurant,2,11/02/2025,Recreational Grounds,Plat Douet Road,Jersey,JE2 6PN,43.865135,-85.37849
Samares Stores,5,03/07/2025,La Grande Route de St. Clément,St. Clement,,JE2 6QN,49.173637,-2.056212
Locke's Cafe,4,11/07/2024,4 & 6,Pitt Street,Jersey,JE2  3RZ,39.119433,-90.327488
Princess Garden,4,03/07/2024,58 Halkett Place,St. Helier,,JE2 4WG,49.185994,-2.104364
Babs Bakes,5,20/06/2025,,,,,,
Dorset Street Stores,5,12/06/2025,15a Dorset Street,St. Helier,,JE2 3YH,49.1899,-2.10634
Thai Smile,3,02/07/2023,36 La Colomberie,St. Helier,,JE2 4QB,49.18255,-2.10144
Funky flower cakes,5,05/08/2024,,,,,,
Supermarket Alliance (Broad Street),5,11/06/2024,11 Broad Street,St. Helier,,JE2 3RR,49.18406,-2.10751
Charrien Stores,4,16/07/2024,La Route de la Baie,St. Brelade,,JE3 8EF,49.18529,-2.20083
Les Ormes Brasserie,4,28/09/2023,Les Ormes,Le Mont a la Brune,Jersey,JE3 8FL,39.119433,-90.327488
Freedom Centre,5,23/02/2023,Bath Street,St. Helier,,JE2 4SU,49.185462,-2.102357
The Organic Shop,4,15/03/2024,68-70 Stopford Road,St. Helier,,JE2 4LZ,49.189557,-2.099916
Midbay Stores,4,10/05/2022,Shop,La Route de la Baie,Jersey,JE3 8EF,39.119433,-90.327488
Supermarket Alliance (St. Ouen),4,19/05/2022,Tesco/Alliance,La Grande Route de St. Ouen,Jersey,JE3 2HY,49.232253,-2.202159
Sam's Restaurant and Coffee Shop,3,27/03/2025,1-6 Beresford Street,St. Helier,,JE2 4WN,49.18536,-2.10439
Co-Op Locale - Charing Cross,5,19/03/2024,27 Charing Cross,St. Helier,,JE2 3RP,49.185238,-2.109729
Woodbine Corner Stores,5,21/03/2024,Retail Shop,La Route de Noirmont,Jersey,JE3 8AJ,39.119433,-90.327488
Just Bee Healthy,3,08/02/2024,,,,,,
Rabbit Hole,5,11/07/2024,Albatross Ltd,Market Street,Jersey,JE2 4WT,39.046904,-90.132336
Stars Noodle Bar,4,09/10/2023,23-24 Central Market,Halkett Place,Jersey,JE2 4WL,49.21849,-2.14198
Brunch Cafe,3,13/03/2025,St John's Recreation Centre,La Route du Mont Mado,Jersey,JE3 4DS,39.119433,-90.327488
Luxury Jersey Ice Cream,5,30/05/2023,,,,,,
Mano's Bistro,3,11/04/2025,5/6 Wests Centre,Bath Street,Jersey,JE2 4ST,39.119433,-90.327488
Relish Delicatessen,5,09/10/2023,10-12 Central Market,Halkett Place,Jersey,JE2 4WL,49.21849,-2.14198
Pretty Baked,5,20/06/2025,,,,,,
Le Rocquier School (Flourish),4,18/06/2024,Le Rocquier School,La Grande Route de St. Clément,Jersey,JE2 6QP,52.131589,11.639961
Sip n' Snack Cafe,4,11/04/2024,13 Cheapside,St. Helier,,JE2 3PG,49.18909,-2.11277
Nutrigums Limited,5,08/12/2023,Suite 13,Bourne House,St. Helier,JE2 4QE,49.185665,-2.110228
Memory Maker,5,06/03/2023,,,,,,
CAKEMUSE,4,30/01/2023,,,,,,
Chocadyllic,5,21/06/2025,,,,,,
Ceri's Cakes,5,09/07/2025,,,,,,
Crumbtious,5,20/06/2025,,,,,,
The Waffle House,5,04/07/2025,2 Broad Street,St. Helier,,JE2 3RR,49.184035,-2.107455
Blacks,5,04/08/2023,29-31 King Street,St. Helier,,JE2 4WF,49.184451,-2.106853
Wise Owl Cafe,5,03/06/2025,16 York Street,St. Helier,,JE2 3RQ,49.18594,-2.10953
Melting Pot,5,01/05/2025,6 Caledonia Place,St. Helier,,JE2 3NG,49.18211,-2.1079
The Oche Club,3,24/04/2025,Ce Soir,10  Caledonia Place,St. Helier,JE2 3NG,49.182536,-2.107873
Coffee Republic,4,02/07/2024,45 King Street,St. Helier,,JE2 4WE,49.18449,-2.10703
St. Luke's School Nursery,5,05/06/2024,St Lukes School,Elizabeth Street,Jersey,JE2 7PG,38.970199,-90.188029
So Bar,4,19/07/2022,36 Esplanade,St. Helier,,JE2 3QA,49.18479,-2.11196
Boots the Chemist,5,13/01/2022,Boots the Chemist,62 King Street,Jersey,JE2 4WE,39.119433,-90.327488
Alison's,5,15/04/2025,68 King Street,St. Helier,,JE2 4WE,49.1848,-2.10823
Georgetown Stores,3,12/01/2026,Georgetown Stores,Georgetown Road,St. Saviour,JE2 7PH,49.178826,-2.093266
Gradees Ltd,4,18/06/2025,9-10 Colomberie Court,La Colomberie,Jersey,JE2 4QB,39.119433,-90.327488
Bakeology,5,11/06/2024,,,,,,
"The Royal Hotel, St. Martin",5,05/03/2025,La Grande Route de Faldouet,St. Martin,,JE3 6UG,49.212343,-2.038748
Kali-Ma Raw Chocolate,3,15/03/2024,,,,,,
St. Martin's Primary School,4,24/05/2024,St Martins Primary School,La Rue de la Croix Au Maitre,Jersey,JE3 6HW,39.119433,-90.327488
Spiral Ices Limited,5,11/02/2022,Longbeach Car Park,La Rue à Don,Grouville,,49.188577,-2.040517
St George's Preparatory School Limited,5,27/02/2024,St. George's Preparatory School,La Hague Manor,St. Peter,JE3 7DB,49.21283,-2.18372
Greatcatch (JY029),4,22/09/2023,Aigremont Farm,La Rue de la Hambye,Jersey,JE2 7UQ,39.119433,-90.327488
Grouville Primary School,3,25/04/2023,Grouville School,La Rue de la Haye du Puits,Jersey,JE3 9DL,49.185554,-2.04231
St. Michael's School,5,05/06/2024,St. Michaels School,La Rue de la Houguette,Jersey,JE2 7UG,49.199292,-2.072987
Oakwell Short Break Centre,4,29/07/2024,Park Estate,St. Brelade,,JE3 8EQ,49.188941,-2.198858
Alvin's Hot Stuff Pizza,4,22/07/2024,3 Stopford Road,St. Helier,,JE2 4LB,49.18923,-2.102283
Tasty Bite,5,01/07/2025,18 Peter Street,St. Helier,,JE2 4SP,49.18501,-2.10143
St Clements Golf Club,5,12/07/2022,Jersey Recreation Ground,Plat Douet Road,Jersey,JE2 6PN,43.865135,-85.37849
Kitty O'Shea's,5,23/07/2024,14 The Parade,St. Helier,,JE2 3QP,49.18728,-2.11082
Plat Douet School,5,04/04/2025,Plat Douet Road,St. Saviour,,JE2 7PN,49.178519,-2.087669
Acrewood Day Nursery,5,24/10/2022,Acrewood Day Nursery,Petit Menage,St. Saviour,JE2 7RP,49.194897,-2.090318
Sid's Place,4,18/07/2024,7 La Colomberie,St. Helier,,JE2 4QA,49.1834,-2.10275
Jaipur Tandoori,4,07/11/2024,10 Esplanade,St. Helier,,JE2 3QA,49.183308,-2.109478
Jersey Wanderers Football Club,4,29/03/2023,Jersey Wanderers Football Club,Jersey Hockey Club,St. Peter,JE3 7BJ,49.21283,-2.18372
Krafty J's,5,04/04/2024,40 Bath Street,St. Helier,,JE2 4ST,49.18513,-2.102465
Dolphin Cottage,5,19/06/2025,,,,,,
Gorey Fruit & Veg Shop,5,01/06/2022,La Rue Hilgrove,Grouville,,JE3 9EZ,49.19781,-2.032303
Momentum Cafe & Grocery Stores,4,27/09/2023,2-3 Minden Street,St. Helier,,,49.186326,-2.102542
Lazin Lizard,5,02/08/2024,Restaurant,Le Mont les Vaux,Jersey,JE3 8AA,39.119433,-90.327488
Caffe Ristorante Italia,4,07/08/2022,4-6 Colomberie Court,La Colomberie,Jersey,JE2 4QB,39.119433,-90.327488
Eurest (Canteen),5,14/06/2023,HSBC House,58-59 Esplanade,Jersey,JE2 3QB,50.782174,-1.06038
Co-Op Locale - Georgetown,5,21/02/2023,Elizabeth Street,St. Saviour,,JE2 7GP,49.17926,-2.094901
Blind Pig,4,12/01/2024,5 Mulcaster Street,St. Helier,,JE2 3NJ,49.183115,-2.106983
Planet Pool and Snooker Club,4,10/07/2024,5 Wharf Street,St. Helier,,JE2 3NR,49.182898,-2.107852
The Corner House,5,12/07/2024,2-4 La Motte Street,St. Helier,,JE2 4SY,49.18371,-2.10174
"R Fresh, New Street",5,03/07/2024,6 New Street,St. Helier,,,49.186648,-2.10586
The Kiosk,4,23/07/2024,,,,,,
The Jersey Grazing Co,5,13/07/2021,,,,,,
La Maison de Jersey,5,28/09/2022,John Le Fondre Departures Hall,L'Avenue de la Reine Elizabeth II,Jersey,JE3 7BP,49.206594,-2.187314
Uno Cafe & Restaurant,4,30/04/2025,Norton House,Nelos Hospitality Limited,St. Brelade,JE3 8BS,49.193024,-2.199614
Matildas Cafe,5,09/06/2025,8 Conway Street,St. Helier,,JE2 3NT,49.18376,-2.10782
Trinity Youth Project,5,22/11/2018,La Rue du Presbytère,Trinity,,JE3 5JB,49.234903,-2.091563
St. Helier Yacht Club,3,05/06/2024,Yacht Club,South Pier,Jersey,JE2 3NB,43.865135,-85.37849
FCJ Pre-School,5,30/10/2023,FCJ Primary School,La Rue de Deloraine,Jersey,JE2 7XB,51.34083,12.375101
The Butcher's Block,5,24/08/2022,25 Les Quennevais Parade,St. Brelade,,JE3 8FX,49.193037,-2.198995
Co-Op Five Oaks,5,22/08/2022,Five Oaks,La Grande Route de St. Martin,Jersey,JE4 8XQ,49.199905,-2.078274
Pizza Lovers Limited,4,16/04/2025,Mont Felard,La Route de St. Aubin,Jersey,JE3 1LL,52.131589,11.639961
Cafe 790,5,06/02/2025,Strive Jersey,L'Avenue de la Reine Elizabeth II,Jersey,JE3 7BP,49.206594,-2.187314
Botana,3,10/07/2025,11 Caledonia Place,St. Helier,,JE2 3NG,49.182787,-2.107892
Arepera La Tricolor & No.6 Poncha Bar,4,31/10/2024,6a La Motte Street,St. Helier,,JE2 4SY,49.18367,-2.10262
Cafe Ube (Elizabeth Terminal),5,19/04/2024,Elizabeth Terminal,La Route Du Port Elizabeth,Jersey,JE2 3NW,49.182489,-2.113081
"Busy Bees, La Providence",5,05/03/2024,Nursery,La Vallée de St. Pierre,Jersey,JE3 1PR,52.131589,11.639961
The Moorings Hotel & Restaurant,4,21/03/2024,Gorey Pier,St. Martin,,JE3 6EW,49.199398,-2.020463
Nelios Tasty Treats,5,12/06/2025,,,,,,
Mont Orgueil Castle Cafe,5,07/02/2025,Mot Orgueil Castle,La Route de la Cote,Jersey,JE3 6DR,32.906765,-93.57079
Little Brazil,3,13/03/2024,,,,,,
Age Concern Jersey,5,07/10/2024,Plaisant Place,Val Plaisant,Jersey,JE2 4ET,43.865135,-85.37849
Elizabeth Castle Cafe,4,21/03/2023,Elizabeth Cafe,Esplanade,Jersey,JE2 3QB,40.665327,-74.214768
Leeward Childcare,5,03/04/2025,Springfield Nursery,Janvrin Road,Jersey,JE2 4LF,49.191406,-2.099554
